17387 66.2 73.6 6.2 0.0
263 54.8 63.2 2.4 0.0
481 60.2 78.4 3.2 0.004
291 62.6 64.8 4.4 0.0
1227 69.2 70.4 6.8 0.0
288 55.2 57.6 3.0 0.0
274 69.2 53.0 4.8 0.0
280 60.0 66.8 5.2 0.0
329 55.2 52.2 3.6 0.0
316 63.2 68.8 8.8 0.0
279 66.0 60.0 10.0 0.0
350 51.0 59.0 1.0 0.0
285 70.2 64.4 4.2 0.0
312 62.0 64.2 3.4 0.0
1577 65.2 72.6 5.0 0.0
3396 71.0 74.0 9.0 0.01
261 60.0 73.6 3.2 0.0
1224 59.0 50.6 1.2 0.0
591 65.2 42.4 2.4 0.0
1830 67.4 64.2 5.6 0.0
280 55.0 83.0 9.0 0.0
258 58.0 80.0 7.0 0.28
281 58.0 74.0 2.6 0.0
371 56.0 85.8 3.4 0.184
320 65.6 74.6 4.4 0.0
426 66.0 67.0 7.0 0.0
288 69.0 38.0 9.0 0.0
1586 60.6 66.4 6.6 0.0
692 70.0 66.8 7.2 0.0
291 69.6 68.8 4.8 0.0
8641 57.6 65.8 9.6 0.0
275 66.0 64.0 9.6 0.0
271 66.0 71.0 8.0 0.0
2810 65.4 46.8 3.6 0.0
283 57.8 77.2 3.4 0.0
4775 58.0 89.0 6.0 0.34
243 57.8 36.0 6.0 0.0
314 69.2 70.4 5.0 0.0
355 64.8 71.0 7.6 0.0
2465 66.8 70.6 6.2 0.0
271 61.8 59.2 5.2 0.0
293 59.6 78.8 3.6 0.004
353 66.0 46.0 7.0 0.0
1923 70.0 66.0 0.0 0.0
261 62.8 51.0 3.2 0.0
268 61.0 56.0 4.0 0.11
249 60.0 72.0 8.0 0.0
277 74.6 41.8 3.4 0.0
2169 65.6 70.6 4.8 0.0
267 54.8 53.8 4.8 0.0
280 63.0 79.6 6.4 0.0
242 61.0 84.6 6.6 0.088
442 63.0 72.0 22.0 0.0
1098 70.0 51.0 6.0 0.0
305 65.8 68.8 5.6 0.0
4769 60.8 58.6 3.2 0.0
281 66.0 77.0 4.0 0.0
296 54.0 75.0 1.0 0.0
374 65.8 70.4 7.4 0.0
18429 64.0 48.0 1.0 0.0
269 61.0 80.0 8.0 0.32
252 65.8 66.2 4.6 0.0
296 70.0 62.0 7.0 0.0
276 64.2 43.4 3.2 0.0
2893 53.0 69.2 1.0 0.0
1148 61.8 73.6 1.4 0.0
274 64.8 78.0 6.2 0.0
380 60.2 70.2 6.8 0.042
24005 68.4 65.0 4.8 0.0
252 58.4 78.2 3.8 0.0
255 51.6 69.0 1.4 0.0
603 68.6 68.8 5.8 0.0
4032 70.0 69.0 4.0 0.0
364 64.8 64.6 2.4 0.0
5283 65.4 76.0 6.2 0.32
2143 62.0 61.6 2.2 0.0
272 63.0 57.0 4.0 0.0
266 67.0 72.0 9.0 0.0
268 52.2 73.6 3.2 0.0
397 58.6 78.4 4.2 0.0
2870 54.6 59.4 5.2 0.0
7806 59.0 69.0 9.0 0.0
274 57.0 73.0 4.4 0.0
292 68.8 66.6 6.8 0.0
474 68.0 68.0 9.0 0.0
252 64.0 75.0 4.0 0.01
295 62.0 46.6 8.4 0.0
419 60.4 62.6 4.4 0.0
264 60.6 68.2 3.8 0.0
1875 61.4 68.4 4.2 0.0
9907 52.2 67.0 2.0 0.0
388 71.6 65.2 6.4 0.0
288 63.0 60.2 6.4 0.0
238 56.2 69.6 4.2 0.0
256 55.6 64.6 6.4 0.002
4326 58.8 46.6 3.0 0.0
299 69.6 68.4 7.0 0.0
448 68.6 71.2 7.2 0.0
1021 68.0 70.0 4.0 0.0
258 57.0 66.0 7.0 0.0
276 72.2 70.0 7.6 0.0
247 57.0 73.0 9.0 0.0
242 55.8 67.0 1.8 0.0
362 62.6 74.2 6.0 0.006
522 71.4 67.6 4.6 0.0
6458 60.0 65.0 1.0 0.0
330 69.8 54.2 4.2 0.0
353 70.6 65.6 4.4 0.0
628 68.4 73.0 8.4 0.0
295 56.0 80.2 3.0 0.002
238 67.2 73.2 5.6 0.0
288 56.8 88.4 5.4 0.348
387 67.8 68.6 4.0 0.0
545 67.0 58.0 10.0 0.0
740 74.0 41.4 3.6 0.0
270 58.0 66.0 12.0 0.0
326 64.0 73.6 6.2 0.0
3782 60.0 66.0 10.0 0.0
304 63.4 62.4 4.0 0.0
287 63.6 79.6 5.0 0.0
264 57.8 61.4 2.4 0.0
249 59.2 62.4 4.2 0.0
661 56.2 82.2 4.8 0.0
276 69.8 67.6 6.6 0.0
2713 62.8 50.8 6.4 0.0
283 61.8 69.2 3.4 0.0
300 62.0 61.0 14.0 0.0
280 67.0 43.6 4.4 0.0
295 68.2 75.2 5.8 0.0
636 67.2 35.6 2.4 0.0
1690 60.6 63.0 4.2 0.0
414 57.0 69.0 4.0 0.0
305 58.4 70.0 2.8 0.0
255 66.4 71.8 6.0 0.0
306 68.6 64.0 5.8 0.0
11397 60.8 76.4 3.0 0.0
431 69.0 76.8 6.4 0.0
1704 56.0 64.8 3.4 0.0
385 60.4 64.8 5.6 0.0
421 65.6 75.0 8.0 0.0
5893 62.0 60.2 11.8 0.0
272 68.6 73.6 6.2 0.0
1056 68.6 67.2 7.8 0.0
721 68.8 64.2 7.2 0.342
5546 72.0 57.2 3.6 0.0
214 53.8 70.8 1.2 0.0
507 67.4 74.0 6.8 0.0
