561 68.0 70.4 8.0 0.0
172 71.4 69.4 5.8 0.0
631 69.6 66.0 7.0 0.0
1413 66.2 71.4 8.4 0.0
350 69.0 71.2 7.6 0.0
4457 73.4 60.8 5.4 0.0
294 69.6 73.6 6.0 0.0
1430 72.6 66.6 7.4 0.0
165 66.0 72.0 6.0 0.0
298 62.2 65.6 6.4 0.0
396 61.4 66.2 8.8 0.0
612 69.0 73.0 6.8 0.0
702 68.6 58.8 7.0 0.0
1246 68.6 70.4 7.0 0.0
1644 68.0 70.8 7.4 0.0
315 66.0 69.4 7.6 0.0
1674 66.4 74.8 8.0 0.0
465 68.6 66.4 7.4 0.0
609 70.4 48.2 6.0 0.0
1284 70.8 58.2 8.2 0.0
690 66.8 68.8 7.4 0.0
132 66.0 69.6 6.8 0.0
281 65.6 69.8 8.6 0.0
368 67.4 63.8 8.4 0.0
313 63.6 62.8 9.0 0.0
362 70.0 70.0 7.0 0.0
1978 62.4 67.4 8.0 0.0
832 75.2 63.0 6.4 0.0
484 65.0 70.0 5.8 0.0
411 70.6 60.2 6.2 0.0
361 65.8 72.0 9.0 0.0
334 68.4 75.0 6.2 0.0
522 64.8 74.6 8.4 0.0
910 72.8 64.2 7.4 0.0
750 67.2 69.8 9.4 0.004
514 67.6 71.0 8.0 0.0
970 62.0 68.4 8.0 0.0
692 68.8 70.2 7.2 0.0
797 66.2 62.2 7.6 0.0
493 68.6 70.2 8.2 0.0
2077 66.0 69.0 8.0 0.0
650 65.0 63.2 6.2 0.0
87317 71.0 68.0 6.2 0.0
12280 70.4 73.2 7.4 0.0
335 70.6 67.2 7.0 0.0
393 68.0 71.2 8.4 0.0
469 64.2 70.6 8.0 0.0
470 68.2 68.8 8.0 0.0
762 67.6 75.4 7.2 0.0
367 67.8 68.8 6.8 0.0
417 66.4 65.0 9.0 0.0
572 68.0 66.0 7.4 0.0
1546 69.0 68.6 8.0 0.0
915 72.4 64.6 6.6 0.0
400 66.6 73.2 7.4 0.0
400 65.6 57.4 6.6 0.0
696 69.4 72.8 7.6 0.0
431 70.6 65.4 8.0 0.002
1105 74.2 60.2 6.0 0.0
346 73.0 68.8 5.6 0.0
1108 69.8 70.8 6.6 0.0
269 69.0 65.0 7.0 0.0
4547 65.0 66.4 6.6 0.0
