2.0 1523.09090909 64.0 48.6 3.4 0.0
1.0 575.444444444 55.2 57.6 3.0 0.0
2.0 479.857142857 55.4 68.6 3.6 0.0
2.0 3205.0 69.2 70.4 5.0 0.0
2.0 1492.0 69.0 53.0 4.0 0.0
2.0 618.0 53.2 73.8 3.0 0.0
1.0 629.117647059 65.4 46.8 3.6 0.0
3.0 15647.0 62.0 80.0 9.0 0.0
2.0 539.0 57.4 81.8 4.0 0.0
0.0 546.0 69.2 70.4 6.8 0.0
0.0 434.5 55.2 78.6 4.0 0.0
1.0 423.5 56.0 80.2 3.0 0.002
3.0 990.4 64.8 71.0 7.6 0.0
2.0 520.6 64.2 43.4 3.2 0.0
2.0 684.0 60.6 63.0 4.2 0.0
2.0 794.0 57.6 65.8 9.6 0.0
3.0 393.5 66.0 64.0 9.6 0.0
1.0 536.333333333 51.6 69.0 1.4 0.0
0.0 280.0 53.2 73.8 3.0 0.0
3.0 595.333333333 65.0 64.6 9.6 0.0
2.0 578.4 57.6 66.8 2.0 0.0
1.0 492.333333333 67.8 68.6 4.0 0.0
2.0 475.222222222 69.8 67.6 6.6 0.0
3.0 473.0 61.0 84.6 6.6 0.088
1.0 613.0 62.8 64.0 3.0 0.0
2.0 898.333333333 55.6 64.6 6.4 0.002
1.0 509.176470588 62.8 50.8 6.4 0.0
1.0 521.263157895 63.0 79.6 6.4 0.0
2.0 628.571428571 60.8 58.6 3.2 0.0
1.0 535.928571429 67.2 73.2 5.6 0.0
1.0 364.5 66.0 64.0 9.6 0.0
2.0 561.5 65.0 72.0 7.0 0.0
1.0 578.6875 66.0 67.0 7.0 0.0
1.0 636.7 71.4 67.6 4.6 0.0
3.0 295.0 72.2 63.6 5.0 0.0
0.0 547.0 58.4 78.2 3.8 0.0
0.0 238.0 68.6 68.8 5.8 0.0
2.0 566.5 61.4 61.0 3.6 0.0
2.0 1283.7 57.8 36.0 6.0 0.0
3.0 719.0 62.0 59.0 10.0 0.0
3.0 771.0 68.8 64.2 7.2 0.342
0.0 524.0 57.8 77.2 3.4 0.0
3.0 262.0 53.4 63.6 3.2 0.0
3.0 325.0 68.0 65.0 6.0 0.0
1.0 7830.875 69.2 72.8 5.2 0.0
1.0 3071.77777778 68.6 68.8 5.8 0.0
1.0 627.0 72.2 70.0 7.6 0.0
0.0 653.0 57.6 65.8 9.6 0.0
3.0 48119.0 59.8 70.0 3.0 0.0
0.0 461.5 57.4 81.8 4.0 0.0
2.0 468.0 63.4 76.6 6.2 0.35
2.0 574.25 59.8 80.6 8.6 0.056
2.0 561.333333333 53.0 72.2 2.0 0.0
3.0 707.0 64.0 61.0 8.0 0.0
1.0 353.428571429 53.4 63.6 3.2 0.0
3.0 584.0 58.0 80.0 7.0 0.28
2.0 688.75 55.0 73.0 3.0 0.0
2.0 697.25 63.4 62.4 4.0 0.0
1.0 511.368421053 55.2 78.6 4.0 0.0
1.0 10814.8571429 70.0 66.8 4.6 0.0
3.0 1112.83333333 64.8 64.6 2.4 0.0
2.0 28727.8 72.2 63.6 5.0 0.0
3.0 653.0 76.2 52.8 4.2 0.0
1.0 3273.28571429 65.8 68.8 5.6 0.0
2.0 696.8 57.0 76.0 4.4 0.0
2.0 744.692307692 55.4 66.0 6.0 0.0
3.0 788.0 68.6 73.6 6.2 0.0
2.0 554.666666667 65.8 66.2 4.6 0.0
2.0 592.75 62.6 64.8 4.4 0.0
3.0 671.0 56.0 56.0 5.0 0.0
1.0 406.5 63.0 60.2 6.4 0.0
1.0 685.277777778 70.6 73.4 6.6 0.002
2.0 533.25 65.2 72.2 3.2 0.002
3.0 604.0 52.2 67.0 2.0 0.0
2.0 642.0 64.0 73.6 6.2 0.0
3.0 443.25 60.0 72.0 5.0 0.0
0.0 495.0 67.6 72.2 7.0 0.0
1.0 446.9 62.0 60.2 11.8 0.0
2.0 879.333333333 60.8 76.4 3.0 0.0
1.0 702.863636364 54.8 63.2 2.4 0.0
1.0 529.875 69.2 53.0 4.8 0.0
0.0 517.0 53.0 69.2 1.0 0.0
2.0 823.75 61.8 59.2 5.2 0.0
2.0 538.333333333 67.2 73.2 5.6 0.0
0.0 498.0 57.8 36.0 6.0 0.0
2.0 1107.66666667 76.2 52.8 4.2 0.0
1.0 5551.33333333 70.0 66.8 7.2 0.0
1.0 476.823529412 61.8 59.2 5.2 0.0
2.0 556.666666667 54.8 63.2 2.4 0.0
2.0 287.0 67.0 72.0 11.0 0.0
0.0 163012.0 58.6 73.2 3.4 0.0
3.0 433.0 57.6 71.6 5.6 0.0
1.0 424.388888889 68.6 56.8 5.0 0.0
2.0 186.0 58.6 81.0 6.6 0.226
1.0 839.285714286 66.8 70.6 6.2 0.0
2.0 1509.6 70.6 73.4 6.6 0.002
2.0 3885.71428571 59.2 73.8 4.2 0.0
1.0 1064.66666667 66.8 70.0 6.8 0.0
