2 32 314.333333333 0.0 67.8 60.8 6.6 0.0
1 58 402.0 0.0 53.8 57.0 3.0 0.0
0 69 452.0 0.0 49.0 78.0 3.0 0.0
2 57 481.2 2.0 57.6 65.8 9.6 0.0
3 76 568.75 2.0 55.4 68.6 3.6 0.0
1 41 270.0 3.0 48.8 71.8 3.8 0.0
2 25 643.0 2.0 60.6 68.2 3.8 0.0
0 39 477.0 0.0 47.6 69.0 2.0 0.0
2 6 355.0 2.0 61.8 73.6 1.4 0.0
1 45 419.875 2.0 66.0 67.0 7.0 0.0
1 84 513.0 0.0 47.6 69.0 2.0 0.0
3 68 497.0 2.0 58.6 73.2 3.4 0.0
1 61 1081.88888889 2.0 66.0 66.0 10.0 0.0
2 72 726.0 0.0 61.4 71.8 6.4 0.012
0 3 342.0 0.0 59.0 66.0 8.0 0.0
2 50 638.5625 0.0 52.8 70.0 1.8 0.0
3 57 318.0 0.0 55.2 68.0 6.0 0.048
1 69 530.844444444 2.0 67.4 74.0 6.8 0.0
3 46 352.0 2.0 59.2 62.4 4.2 0.0
1 5 9238.0 2.0 74.0 41.4 3.6 0.0
2 35 3381.0 3.0 52.2 66.4 1.2 0.0
3 74 930.333333333 1.0 65.2 63.8 10.2 0.0
2 47 723.5 0.0 57.0 55.4 3.2 0.0
0 70 751.166666667 2.0 65.8 66.2 4.6 0.0
2 69 562.428571429 2.0 55.0 93.0 4.0 0.66
3 42 623.5 1.0 68.0 66.0 7.4 0.0
0 56 398.5 0.0 55.0 56.0 9.0 0.0
2 74 946.185185185 1.0 68.0 66.8 7.8 0.0
3 51 444.5 0.0 51.2 61.6 0.8 0.0
2 76 781.72 0.0 60.0 68.0 7.0 0.0
1 65 772.5 2.0 63.0 72.0 22.0 0.0
3 39 379.0 3.0 56.0 80.0 11.0 0.65
0 61 579.666666667 2.0 56.0 84.0 13.0 0.0
1 32 284.0 1.0 66.8 72.4 7.2 0.0
1 57 1850.0 3.0 50.2 54.2 8.2 0.0
1 74 881.0 2.0 71.8 53.2 3.8 0.0
1 57 1095.15384615 2.0 65.2 72.2 3.2 0.002
3 61 393.0 3.0 56.0 84.0 3.0 0.0
3 74 476.333333333 1.0 61.2 63.2 9.4 0.0
1 11 7106.0 0.0 63.0 66.2 7.2 0.0
2 39 288.5 0.0 56.6 73.2 3.4 0.0
0 16 488.5 1.0 63.2 65.0 7.2 0.0
0 74 258.0 0.0 56.6 46.2 3.6 0.0
1 45 256.0 2.0 56.2 61.6 3.8 0.002
3 82 559.0 1.0 65.0 70.0 5.8 0.0
1 9 751.0 1.0 67.2 67.6 9.0 0.0
1 59 592.166666667 0.0 74.0 43.0 5.0 0.0
0 41 2694.66666667 2.0 56.4 79.2 4.6 0.208
3 68 283.0 3.0 43.2 51.0 3.4 0.0
1 39 1831.11538462 2.0 64.0 73.6 6.2 0.0
2 69 567.636363636 0.0 58.0 75.0 9.0 0.0
1 37 92286.3333333 0.0 63.0 60.0 8.0 0.0
3 8 721.0 2.0 76.0 39.0 3.0 0.0
3 41 612.0 1.0 68.2 68.8 8.0 0.0
3 73 164816.0 0.0 57.8 75.4 10.6 0.762
1 5 138.0 0.0 56.0 56.0 9.0 0.0
3 3 417.0 2.0 58.8 46.6 3.0 0.0
2 4 274.666666667 2.0 64.0 54.0 3.0 0.0
2 10 429.0 2.0 63.0 60.2 6.4 0.0
1 59 533.0 2.0 70.2 64.4 4.2 0.0
