3 164816.0 0.0 57.8 75.4 10.6 0.762
3 334.0 0.0 54.0 35.0 7.0 0.0
1 523.2 0.0 63.0 68.0 4.8 0.0
2 3360.57142857 2.0 66.0 67.0 7.0 0.0
3 714.333333333 0.0 57.4 67.2 5.6 0.0
3 756.5 0.0 67.4 59.0 6.8 0.0
2 4060.375 0.0 55.8 81.4 3.4 0.006
1 553.333333333 3.0 58.0 83.0 2.2 0.004
1 476.8 3.0 57.6 81.4 2.0 0.014
1 1555.75 3.0 50.4 63.0 1.8 0.0
3 570.0 1.0 65.0 70.0 5.8 0.0
3 517.0 2.0 53.2 73.8 3.0 0.0
1 1790.3 2.0 65.4 70.0 6.8 0.0
1 548.055555556 2.0 54.8 53.8 4.8 0.0
0 511.333333333 0.0 65.4 31.2 10.6 0.0
0 210.333333333 0.0 59.8 69.0 9.0 0.0
3 376.666666667 0.0 51.8 84.6 2.0 0.004
0 994.333333333 2.0 62.0 64.2 3.4 0.0
0 227.333333333 2.0 62.6 74.2 6.0 0.006
2 1254.5 2.0 62.8 50.8 6.4 0.0
1 2982.5 3.0 52.6 46.0 2.0 0.0
3 609.333333333 0.0 58.0 45.0 2.0 0.0
3 758.0 0.0 60.4 55.0 10.6 0.0
0 302.0 3.0 58.0 76.2 2.8 0.004
0 343.0 2.0 72.2 70.0 7.6 0.0
1 619.083333333 2.0 69.2 70.4 5.0 0.0
3 488.5 3.0 40.2 49.2 4.2 0.0
0 1036.5 2.0 65.6 75.0 8.0 0.0
0 581.0 0.0 60.0 74.0 9.6 0.0
2 520.75 0.0 62.4 66.2 5.8 0.0
3 786.0 2.0 55.4 68.6 3.6 0.0
3 493.5 2.0 66.0 67.0 7.0 0.0
2 394.0 3.0 60.6 76.8 3.6 0.002
2 795.0 2.0 62.8 51.0 3.2 0.0
0 639.25 3.0 46.2 70.8 2.2 0.0
3 561.5 0.0 48.8 70.8 5.8 0.0
1 917.0 0.0 62.0 62.2 5.6 0.0
1 523.866666667 1.0 71.2 70.2 9.0 0.0
2 469.333333333 1.0 68.0 67.0 10.0 0.0
1 512.571428571 2.0 60.8 58.6 3.2 0.0
0 655.666666667 2.0 63.0 60.2 6.4 0.0
3 469.0 0.0 60.0 68.0 7.0 0.0
1 751.636363636 2.0 65.4 73.2 5.2 0.0
1 548.6 3.0 51.4 60.0 1.0 0.0
1 532.666666667 0.0 53.0 81.0 3.0 0.0
1 470.866666667 2.0 65.8 68.8 5.6 0.0
2 969.0 3.0 53.2 82.6 12.2 0.564
0 939.714285714 2.0 71.6 65.2 6.4 0.0
1 673.0 1.0 65.6 72.4 6.8 0.0
1 5119.66666667 2.0 76.2 52.8 4.2 0.0
1 991.833333333 2.0 71.8 53.2 3.8 0.0
3 530.0 2.0 60.0 72.0 8.0 0.0
2 4565.0 2.0 70.6 73.4 6.6 0.002
2 3484.46666667 2.0 70.0 66.8 7.2 0.0
0 416.5 2.0 70.6 73.4 6.6 0.002
2 715.428571429 0.0 58.4 81.4 4.2 0.0
0 499.333333333 0.0 53.8 76.8 3.4 0.0
3 620.0 0.0 73.0 53.0 5.0 0.0
3 734.0 3.0 44.4 59.4 1.4 0.0
2 371.0 0.0 60.8 68.2 6.8 0.0
3 424.5 0.0 53.8 57.8 9.0 0.0
2 325.0 0.0 67.8 60.8 6.6 0.0
3 758.0 0.0 56.0 77.0 9.0 0.0
1 3213.0 0.0 62.8 65.8 9.0 0.0
1 530.533333333 1.0 66.4 65.0 9.0 0.0
1 2520.7 3.0 57.8 82.0 3.2 0.0
1 509.666666667 0.0 55.4 68.6 7.4 0.008
3 312.0 3.0 51.4 61.8 1.2 0.0
3 750.833333333 0.0 53.0 54.6 1.4 0.0
0 599.0 0.0 61.6 64.8 8.2 0.004
1 487.666666667 2.0 58.6 81.0 6.6 0.226
0 573.666666667 0.0 57.6 55.8 14.2 0.0
3 365.5 2.0 68.6 56.8 5.0 0.0
1 435.909090909 2.0 57.8 77.2 3.4 0.0
3 622.0 2.0 61.8 59.2 5.2 0.0
3 632.0 0.0 57.0 80.0 15.0 0.43
2 4741.0 1.0 68.0 71.2 8.4 0.0
1 891.142857143 0.0 60.2 72.8 2.4 0.0
3 545.0 0.0 51.2 78.0 9.0 0.302
1 599.625 0.0 69.4 63.8 5.0 0.0
1 496.153846154 0.0 53.8 57.0 3.0 0.0
3 605.666666667 0.0 51.0 60.8 1.8 0.0
3 617.5 0.0 63.8 72.2 7.8 0.0
1 1149.17647059 2.0 69.6 68.8 4.8 0.0
2 1443.125 2.0 65.6 75.0 8.0 0.0
1 442.666666667 3.0 60.0 83.4 4.4 0.018
2 508.666666667 0.0 55.6 80.4 5.4 0.082
2 2682.22222222 0.0 56.0 66.6 5.4 0.022
2 546.8 3.0 43.2 51.0 3.4 0.0
1 993.357142857 2.0 53.2 73.8 3.0 0.0
0 226.0 0.0 62.0 63.4 4.6 0.0
0 804.0 2.0 59.8 80.6 8.6 0.056
1 1777.33333333 0.0 55.4 89.2 2.6 0.0
1 693.538461538 2.0 60.6 58.2 2.0 0.0
3 167.0 3.0 60.0 92.0 6.0 0.09
2 678.333333333 0.0 59.6 71.6 7.0 0.0
1 639.0 0.0 56.8 54.4 1.8 0.0
2 654.857142857 0.0 58.4 50.0 4.4 0.0
2 1704.5 2.0 55.2 52.2 3.6 0.0
0 427.6 0.0 56.8 69.0 8.6 0.0
2 1133.25 0.0 56.0 84.6 5.2 0.0
1 580.285714286 0.0 56.6 71.0 8.2 0.01
1 533.5 1.0 65.6 71.4 9.4 0.0
0 691.333333333 0.0 52.2 52.8 1.8 0.0
2 491.0 0.0 58.4 71.0 2.2 0.0
0 263.0 3.0 60.8 84.2 10.8 0.93
1 3466.7 2.0 70.8 74.0 7.4 0.0
0 252.0 0.0 75.4 35.6 5.2 0.0
2 897.666666667 1.0 70.0 67.0 11.0 0.0
3 1308.33333333 3.0 50.6 72.8 4.2 0.0
2 681.857142857 1.0 64.2 70.6 8.0 0.0
0 227.0 1.0 69.0 73.0 6.8 0.0
3 9470.75 1.0 63.0 79.0 13.0 0.0
2 426.5 1.0 69.6 66.0 7.0 0.0
